Name,Gender,Race,Age,Hair,Height,Affiliation,Place of Origin,First Appearance,Canonical status,Living status,Difficulty,Image
Kenpachi Zaraki,Male,Shinigami,100-1000,Black,202,Gotei 13,Seireitei,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/e/e7/Ep386KenpachiProfile.png/revision/latest/scale-to-width-down/1000?cb=20230921204006&path-prefix=en
Renji Abarai,Male,Shinigami,100-1000,Ginger,188,Gotei 13,Seireitei,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/2/29/Ep363RenjiProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105054712&path-prefix=en
Rukia Kuchiki,Female,Shinigami,100-1000,Black,144,Gotei 13,Seireitei,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/e/ed/Ep267RukiaProfile.png/revision/latest/scale-to-width-down/1000?cb=20220622153811&path-prefix=en
Tessai Tsukabishi,Male,Shinigami,100-1000,Black,200,Ryoka,Seireitei,Agent of The Shinigami Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/f/fc/Ep79TessaiProfile.png/revision/latest?cb=20210415064655&path-prefix=en
Isshin Kurosaki,Male,Shinigami,100-1000,Black,186,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/6/67/Ep141IsshinProfile.png/revision/latest/scale-to-width-down/1000?cb=20231102010132&path-prefix=en
Kisuke Urahara,Male,Shinigami,100-1000,Blonde,183,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/8/8f/Ep6KisukeUrahara.png/revision/latest/scale-to-width-down/1000?cb=20210313004610&path-prefix=en
Yoruichi Shihoin,Female,Shinigami,100-1000,Purple,156,Ryoka,Karakura Town,Agent of the Shinigami Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/6/62/Ep246YoruichiShih%C5%8Din.png/revision/latest/scale-to-width-down/1000?cb=20231105202606&path-prefix=en
Kaname Tosen,Male,Hybrid,100-1000,Purple,176,Espada,Hueco Mundo,Soul Society: The Sneak Entry Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/9/90/Ep38TosenProfile.png/revision/latest?cb=20210410030515&path-prefix=en
Genryusai Shigekuni Yamamoto,Male,Shinigami,1000+,Bald,168,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/6/6c/206Yamamoto_profile.png/revision/latest/scale-to-width-down/1000?cb=20231105205116&path-prefix=en
jidanbo Ikkanzaka,Male,Shinigami,100-1000,Black,427,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/5/5e/Ep21JidanboProfile.png/revision/latest/scale-to-width-down/1000?cb=20210330101954&path-prefix=en
Jirobo Ikkanzaka,Male,Shinigami,100-1000,Black,231,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/a/aa/Ep28Jir%C5%8Db%C5%8DIkkanzaka.png/revision/latest?cb=20210401223940&path-prefix=en
Mayuri Kurotsuchi,Male,Shinigami,100-1000,Black,174,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/1/1c/Ep402MayuriRevealsEffects.png/revision/latest/scale-to-width-down/1000?cb=20241211011213&path-prefix=en
Shunsui Kyoraku,Male,Shinigami,100-1000,Black,192,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/0/03/Ep375ShunsuiProfile.png/revision/latest/scale-to-width-down/1000?cb=20221205191725&path-prefix=en
Toshiro Hitsugaya,Male,Shinigami,100-1000,White,134,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/1/16/Hitsugayatoshiro.png/revision/latest/scale-to-width-down/1000?cb=20220501214054&path-prefix=en
Yumichika Ayasegawa,Male,Shinigami,100-1000,Black,165,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/3/3d/Ep130YumichikaAyasegawa.png/revision/latest?cb=20211012030937&path-prefix=en
Retsu Unohana,Female,Shinigami,1000+,Black,159,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/e/ea/Ep206UnohanaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105204710&path-prefix=en
Kiyone Kotetsu,Female,Shinigami,100-1000,Blonde,154,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/2/2c/Ep397KiyoneProfile.png/revision/latest?cb=20241118181112&path-prefix=en
Rangiku Matsumoto,Female,Shinigami,100-1000,Ginger,172,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/9/90/Matsumoto_Rangiku_Mugshot_2.png/revision/latest?cb=20231105194031&path-prefix=en
Sui-Feng (Shaolin Feng),Female,Shinigami,100-1000,Black,150,Gotei 13,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/b/b8/Episode_366_Sui-Feng.png/revision/latest?cb=20231105203325&path-prefix=en
Kukaku Shiba,Female,Shinigami,100-1000,Black,168,Noble,Rukongai,Soul Society: The Sneak Entry Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/4/4e/Ep23KukakuProfile.png/revision/latest?cb=20210331011230&path-prefix=en
Ganju Shiba,Male,Shinigami,100-1000,Black,170,Ryoka,Rukongai,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/2/22/Ep390GanjuProfile.png/revision/latest?cb=20230928064838&path-prefix=en
Sosuke Aizen,Male,Transcendent,100-1000,Brown,186,Espada,Seireitei,Soul Society: The Sneak Entry Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/a/af/Ep215AizenProfile.png/revision/latest/scale-to-width-down/1000?cb=20220501224017&path-prefix=en
Nemu Kurotsuchi,Female,Mod Soul,100-1000,Black,165,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/4/47/Ep200NemuOpt8.png/revision/latest?cb=20231105192406&path-prefix=en
Chojuro Sasakibe,Male,Shinigami,1000+,Blonde,179,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/e/e5/Ep215ChojiroProfile.png/revision/latest?cb=20221130090025&path-prefix=en
Kaien Shiba,Male,Shinigami,100-1000,Black,183,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/e/ee/Ep208KaienProfile.png/revision/latest?cb=20231105202259&path-prefix=en
Akon,Male,Shinigami,100-1000,Black,180,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/8/82/Ep295AkonProfile.png/revision/latest?cb=20231106083113&path-prefix=en
Hanataro Yamada,Male,Shinigami,100-1000,Black,153,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/f/f1/Ep29Hanatar%C5%8DYamada.png/revision/latest?cb=20210402011948&path-prefix=en
Ikkaku Madarame,Male,Shinigami,100-1000,Bald,182,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/4/41/Ep242IkkakuProfile.png/revision/latest?cb=20190129064209&path-prefix=en
Makizo Aramaki (Maki Maki),Male,Shinigami,100-1000,Black,179,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/4/40/Ep45AramakiProfile.png/revision/latest?cb=20210411011148&path-prefix=en
Marechiyo Omaeda,Male,Shinigami,100-1000,Black,210,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/4/48/Ep51MarechiyoComplainsProblems.png/revision/latest/scale-to-width-down/1000?cb=20200418222817&path-prefix=en
Sentaro Kotsubaki,Male,Shinigami,100-1000,Black,179,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Impossible,https://static.wikia.nocookie.net/bleach/images/b/b2/Ep42SentaroProfile.png/revision/latest?cb=20210410063911&path-prefix=en
Shuhei Hisagi,Male,Shinigami,100-1000,Black,181,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/1/10/Ep216HisagiProfile.png/revision/latest/scale-to-width-down/1000?cb=20220503231623&path-prefix=en
Tetsuzaemon Iba,Male,Shinigami,100-1000,Black,180,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/1/1d/Ep215IbaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105055847&path-prefix=en
Izuru Kira,Male,Shinigami,100-1000,Blonde,187,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Zombified,Easy,https://static.wikia.nocookie.net/bleach/images/c/ca/Kiraizuru.png/revision/latest/scale-to-width-down/1000?cb=20231105060800&path-prefix=en
Miyako Shiba,Female,Shinigami,100-1000,Black,165,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/2/2f/Ep49MiyakoShiba.png/revision/latest?cb=20210411043755&path-prefix=en
Yachiru Kusajishi,Female,Shinigami,100-1000,Pink,109,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/0/0e/Ep36YachiruProfile.png/revision/latest?cb=20210409065447&path-prefix=en
Isane Kotetsu,Female,Shinigami,100-1000,White,187,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/1/16/Ep197IsaneKotetsu.png/revision/latest/scale-to-width-down/1000?cb=20220417033741&path-prefix=en
Momo Hinamori,Female,Shinigami,100-1000,Black,151,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/d/d8/Ep265MomoHinamori.png/revision/latest?cb=20231105055400&path-prefix=en
Nanao Ise,Female,Shinigami,100-1000,Black,164,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/a/aa/DDRNanao_profile_2.png/revision/latest?cb=20190130200105&path-prefix=en
Hisana Kuchiki,Female,Shinigami,100-1000,Black,165,Gotei 13,Hell,Soul Society: The Rescue Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/e/ea/Ep62HisanaProfile.png/revision/latest?cb=20210414023932&path-prefix=en
Sajin Komamura,Male,Shinigami,100-1000,Brown,288,Gotei 13,Seireitei,Soul Society: The Rescue Arc,Canon,Ambiguous,Easy,https://static.wikia.nocookie.net/bleach/images/f/f4/Ep215SajinKomamura.png/revision/latest?cb=20231105061227&path-prefix=en
Di Roy Rinker,Male,Arrancar,100-1000,Black,186,Arrancar,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/3/3d/Ep117DiRoyProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110201334&path-prefix=en
Edrad Liones,Male,Arrancar,100-1000,Brown,196,Arrancar,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/b/b0/Ep117EdradProfile.png/revision/latest/scale-to-width-down/1000?cb=20230430042620&path-prefix=en
Shawlong Koufang,Male,Arrancar,100-1000,Black,189,Arrancar,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Hard,https://static.wikia.nocookie.net/bleach/images/a/ab/Ep120ShawlongProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110192443&path-prefix=en
Aaroniero Arruruerie,Male,Arrancar,100-1000,Bald,205,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/5/5c/Ep153AaronieroProfile.png/revision/latest/scale-to-width-down/1000?cb=20220531233955&path-prefix=en
Coyote Starrk,Male,Arrancar,100-1000,Brown,187,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/e/eb/276Starrk_alt_2.png/revision/latest?cb=20140824165922&path-prefix=en
Luppi Antenor,Male,Arrancar,100-1000,Black,161,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/0/03/Ep388LuppiProfile.png/revision/latest?cb=20230921071853&path-prefix=en
Nnoitra Gilga,Male,Arrancar,100-1000,Black,215,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/1/10/Ep190NnoitraProfile.png/revision/latest/scale-to-width-down/1000?cb=20221225060324&path-prefix=en
Ulquiorra Cifer,Male,Arrancar,100-1000,Black,169,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/1/1b/Ep267UlquiorraProfile3.png/revision/latest/scale-to-width-down/1000?cb=20190402043903&path-prefix=en
Yammy Llargo,Male,Arrancar,100-1000,Bald,230,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/d/d2/Ep268YammyProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110193115&path-prefix=en
Yylfordt Granz,Male,Arrancar,100-1000,Blonde,202,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/a/a6/Ep120YylfordtProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110191200&path-prefix=en
Grimmjow Jaegerjaquez,Male,Arrancar,100-1000,Blue,186,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/7/7a/Ep138GrimmjowProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110192143&path-prefix=en
Tier Harribel,Female,Arrancar,100-1000,Blonde,175,Espada,Hueco Mundo,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/9/92/215Harribel_profile.png/revision/latest/scale-to-width-down/1000?cb=20220503234204&path-prefix=en
Szayelaporro Granz,Male,Arrancar,100-1000,Pink,185,Espada,Hell,Arrancar: The Arrival Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/5/56/Ep159SzayelaporroProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110190931&path-prefix=en
Mizuho Asano,Female,Human,001-20,Brown,162,Civilian,Karakura Town,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/7/79/Ep229MizuhoProfile1.png/revision/latest?cb=20190126070038&path-prefix=en
Zennosuke Kurumadani,Male,Shinigami,100-1000,Black,164,Gotei 13,Karakura Town,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/c/c5/Ep110ZennosukeKurumadani.png/revision/latest/scale-to-width-down/1000?cb=20231105192601&path-prefix=en
Kensei Muguruma,Male,Visored,100-1000,White,179,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/2/24/Ep366KenseiProfile.png/revision/latest?cb=20231105210706&path-prefix=en
Love Aikawa,Male,Visored,100-1000,Brown,189,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/6/67/Ep278LoveAikawa.png/revision/latest?cb=20231105205442&path-prefix=en
Rojuro Rose Otoribashi,Male,Visored,100-1000,Blonde,187,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/c/cd/Ep278Rose%C5%8Ctoribashi.png/revision/latest/scale-to-width-down/1000?cb=20231105210938&path-prefix=en
Shinji Hirako,Male,Visored,100-1000,Blonde,176,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/d/dd/Ep366ShinjiHirako.png/revision/latest?cb=20231105205850&path-prefix=en
Lisa Yadomaru,Female,Visored,100-1000,Black,162,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/9/9b/Ep123LisaProfile.png/revision/latest/scale-to-width-down/1000?cb=20231105211359&path-prefix=en
Mashiro Kuna,Female,Visored,100-1000,Green,153,Vizard,Seireitei,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/0/04/Ep278MashiroKuna.png/revision/latest?cb=20231105210410&path-prefix=en
Hachigen Ushoda,Male,Visored,100-1000,Pink,257,Vizard,Karakura Town,Arrancar: The Arrival Arc,Canon,Living,Medium,https://static.wikia.nocookie.net/bleach/images/5/51/Ep127HachigenUsh%C5%8Dda.png/revision/latest?cb=20210919181114&path-prefix=en
Hiyori Sarugaki,Female,Visored,100-1000,Blonde,133,Vizard,Karakura Town,Arrancar: The Arrival Arc,Canon,Living,Easy,https://static.wikia.nocookie.net/bleach/images/5/52/Ep112HiyoriSarugakiProfile.png/revision/latest/scale-to-width-down/1000?cb=20230622194158&path-prefix=en
Wonderweiss Mergela,Male,Arrancar,001-20,Blonde,176,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/2/27/Ep143WonderweissProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110200738&path-prefix=en
Baraggan Louisenbairn,Male,Arrancar,100-1000,White,166,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Deceased,Easy,https://static.wikia.nocookie.net/bleach/images/9/93/Ep226BaragganProfile.png/revision/latest/scale-to-width-down/1000?cb=20230831172929&path-prefix=en
Rudbornn Chelute,Male,Arrancar,100-1000,None,186,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/3/39/Rudob%C5%8Dn.png/revision/latest/scale-to-width-down/1000?cb=20220612172554&path-prefix=en
Zommari Rureaux,Male,Arrancar,100-1000,White,196,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Deceased,Medium,https://static.wikia.nocookie.net/bleach/images/9/97/Ep195ZommariProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110201718&path-prefix=en
Dordoni Alessandro Del Socaccio,Male,Arrancar,100-1000,Black,185,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Zombified,Medium,https://static.wikia.nocookie.net/bleach/images/5/57/Ep151DordoniAlessandroDelSocaccio2.png/revision/latest/scale-to-width-down/1000?cb=20231110190728&path-prefix=en
Gantenbainne Mosqueda,Male,Arrancar,100-1000,Orange,192,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Zombified,Hard,https://static.wikia.nocookie.net/bleach/images/9/90/Ep157GantenbainneProfile.png/revision/latest/scale-to-width-down/1000?cb=20231110200247&path-prefix=en
Roka Paramia,Female,Arrancar,100-100,Black,140,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/4/4c/Ep127RokaProfile.png/revision/latest/scale-to-width-down/1000?cb=20230528045434&path-prefix=en
Loly Aivirrne,Female,Arrancar,100-1000,Black,157,Espada,Hueco Mundo,Arrancar: Hueco Mundo Sneak Entry Arc,Canon,Living,Hard,https://static.wikia.nocookie.net/bleach/images/8/86/Ep163LolyProfile.png/revision/latest?cb=20220621043146&path-prefix=en
